time,value
2010-06-01,13.883155741942295
2010-06-02,13.883099018986137
2010-06-03,12.09491218646929
2010-06-04,14.777050629924103
2010-06-05,14.776993903171936
2010-06-06,12.988807069330846
2010-06-07,12.175932914609469
2010-06-08,13.23243649572799
2010-06-09,13.476122643505631
2010-06-10,12.906991367070239
2010-06-11,13.313172767915974
2010-06-12,12.906536741839854
2010-06-13,14.369278447405595
2010-06-14,13.872098442317572
2010-06-15,22.14377737568496
2010-06-16,21.303014160821917
2010-06-17,17.608264182860566
2010-06-18,15.529852706027514
2010-06-19,14.17371468488186
2010-06-20,15.327980219412021
2010-06-21,14.225339671805342
2010-06-22,23.3827038081066
2010-06-23,21.34251131526557
2010-06-24,18.83354285407311
2010-06-25,21.220188741122655
2010-06-26,18.667733390214714
2010-06-27,22.799022497862637
2010-06-28,46.5983889887519
2010-06-29,102.58274361915369
2010-06-30,68.26517396043646
2010-07-01,61.066223807600046
2010-07-02,43.73318256051019
2010-07-03,32.9552645656851
2010-07-04,29.328513194193317
2010-07-05,20.419330294127864
2010-07-06,22.022865162017563
2010-07-07,29.370770836731996
2010-07-08,20.70746433027648
2010-07-09,24.345005699232757
2010-07-10,21.806050483420023
2010-07-11,17.858945647257514
2010-07-12,17.957330885438807
2010-07-13,14.05462071668382
2010-07-14,20.75387769667273
2010-07-15,17.19358388846
2010-07-16,31.98382102782641
2010-07-17,20.197820137660745
2010-07-18,27.65641525372921
2010-07-19,27.49208788146411
2010-07-20,23.728130758503852
2010-07-21,15.69399510305702
2010-07-22,12.77736398125174
2010-07-23,11.40197717456815
2010-07-24,14.25002984742593
2010-07-25,11.710322671785596
2010-07-26,11.763836294473135
2010-07-27,18.210347207732575
2010-07-28,15.403716950417985
2010-07-29,21.448762881275368
2010-07-30,29.63999708987046
2010-07-31,24.823016904444888
2010-08-01,15.223220826482489
2010-08-02,14.573547381912714
2010-08-03,6.959638597816596
2010-08-04,11.514486640541028
2010-08-05,17.86693687445165
2010-08-06,31.38137962719203
2010-08-07,21.480790051603492
2010-08-08,19.81507105558302
2010-08-09,13.567208263031446
2010-08-10,15.969364476721468
2010-08-11,13.610563878377866
2010-08-12,12.928074855794272
2010-08-13,14.815962472391158
2010-08-14,7.293754998100772
2010-08-15,13.934967694719344
2010-08-16,8.498683453110893
2010-08-17,9.939081425987121
2010-08-18,14.083858022102268
2010-08-19,16.015655447704965
2010-08-20,14.244365278195758
2010-08-21,14.283388678179664
2010-08-22,13.152508806519792
2010-08-23,11.81197556122503
2010-08-24,10.857832307538803
2010-08-25,15.356447697915728
2010-08-26,13.982997699404718
2010-08-27,11.803850963085912
2010-08-28,14.034386964310025
2010-08-29,11.584944324423951
2010-08-30,14.419953925830958
2010-08-31,11.810635120520148
2010-09-01,17.1892509832241
2010-09-02,13.568565486947485
2010-09-03,14.870448757047297
2010-09-04,7.556201402006068
2010-09-05,13.59427904402522
2010-09-06,18.946914082592418
2010-09-07,5.988252592870406
2010-09-08,16.483904963594473
2010-09-09,16.331675559803603
2010-09-10,16.260345029784208
2010-09-11,10.394628727329676
2010-09-12,15.849486267210908
2010-09-13,15.861866305461222
2010-09-14,19.691728331528747
2010-09-15,11.277832264491485
2010-09-16,10.72067637772089
2010-09-17,11.314772764613174
2010-09-18,13.283637688973574
2010-09-19,15.733206093951203
2010-09-20,12.390884089513886
2010-09-21,15.103033646520473
2010-09-22,15.487794878739015
2010-09-23,15.556814157939518
2010-09-24,17.209979724429488
2010-09-25,13.518287408906426
2010-09-26,12.081290175403309
2010-09-27,14.199822095078197
2010-09-28,14.397734713462066
2010-09-29,16.437551798748046
2010-09-30,15.973123787370719
2010-10-01,18.257082866406513
2010-10-02,13.65339456353116
2010-10-03,11.10270942176026
2010-10-04,20.59852354322468
2010-10-05,15.418225856080127
2010-10-06,15.429928679858715
2010-10-07,11.891662598083272
2010-10-08,20.201214653353922
2010-10-09,10.357735247639042
2010-10-10,19.51459440829836
2010-10-11,11.343514989475818
2010-10-12,8.990847831962133
2010-10-13,14.34406360903195
2010-10-14,10.664277695032276
2010-10-15,11.382334012394043
2010-10-16,35.76036745380543
2010-10-17,23.001954334783026
2010-10-18,13.975015864648864
2010-10-19,11.987592749135388
2010-10-20,12.569359714261214
2010-10-21,13.395747620828514
2010-10-22,17.327764642921156
2010-10-23,12.742565073421844
2010-10-24,14.034596286234043
2010-10-25,8.368805292303787
2010-10-26,12.64302161698257
2010-10-27,12.64161089342626
2010-10-28,29.285695394849935
2010-10-29,21.919698746049793
2010-10-30,13.106571770153627
2010-10-31,16.33856891891552
2010-11-01,6.727027445904643
2010-11-02,9.955997999423701
2010-11-03,9.200801827323644
2010-11-04,22.992969151391634
2010-11-05,19.95894442828381
2010-11-06,17.492356895423715
2010-11-07,14.94297742171803
2010-11-08,11.728507875411557
2010-11-09,14.107403636381644
2010-11-10,23.21756568064688
2010-11-11,12.805992872617054
2010-11-12,17.57866504210897
2010-11-13,15.285554137782546
2010-11-14,13.072407371968323
2010-11-15,17.133059854278937
2010-11-16,14.801589981373157
2010-11-17,20.75556572829792
2010-11-18,15.251050484473138
2010-11-19,14.157698951766799
2010-11-20,14.495294294508408
2010-11-21,13.209114237446535
2010-11-22,17.13947665521486
2010-11-23,16.600676791127693
2010-11-24,11.890736333339186
2010-11-25,11.652284135271078
2010-11-26,7.54071302794907
2010-11-27,12.966998819651597
2010-11-28,9.453797063220879
2010-11-29,11.541856618743479
2010-11-30,13.356711588339872
2010-12-01,15.379781610794534
2010-12-02,14.791323062514442
2010-12-03,16.204940865748725
