date,vix,g_trends,bullish_surv,neutral_surv,bearish_surv,bull_bear_spread_surv,volume,adjusted,sma_20,sma_50,ema_20,basic_volatility,atr,rsi,macd,macd_signal,bb_up,bb_dn,obv,stochrsi,adx,sentiment_negative,sentiment_neutral,sentiment_none,sentiment_positive
2023-02-06,19.43000030517578,52.0,0.299003,0.355482,0.345515,-0.046512,186188100.0,194.75999450683597,187.44749908447267,169.23819961547852,159.79523755289483,8.25,11.193866683284666,73.57855548018514,8.426836068167564,3.9888857103759423,201.64065856461175,97.67934036727296,18195662800.0,1.0,35.531196961015745,0.0,0.0,1.0,0.0
2023-02-07,18.65999984741211,52.0,0.299003,0.355482,0.345515,-0.046512,186010300.0,196.80999755859372,190.2959991455078,170.38359954833984,163.32045279153283,7.9499969482421875,10.962161702210205,74.22746005767416,9.005354229168216,4.992179414134397,207.4432456793954,99.58075334404212,18381673100.0,1.0,36.46768362826031,0.0,0.0,1.0,0.0
2023-02-08,19.6299991607666,52.0,0.299003,0.355482,0.345515,-0.046512,180673600.0,201.2899932861328,193.1779998779297,171.90419967651368,166.93659950530426,8.69000244140625,10.79986461215278,75.63572861833107,9.518865312590965,5.89751659382571,212.922987852112,102.34501065252672,18562346700.0,1.0,37.60056902498241,0.0,1.0,0.0,0.0
2023-02-09,20.709999084472656,52.0,0.375,0.375,0.25,0.125,215431400.0,207.32000732421875,195.00849990844728,173.23399978637696,170.7826383452009,9.229995727539062,10.93630333370381,77.42387500769416,10.038316593364671,6.725676593733502,218.7865137933425,104.89148532164776,18777778100.0,1.0,39.10844332909575,0.0,1.0,0.0,0.0
2023-02-10,20.530000686645508,52.0,0.375,0.375,0.25,0.125,204754100.0,196.88999938964844,196.49500045776367,174.69219985961914,173.26905368276732,13.30999755859375,11.18585366233713,68.11224264913002,9.842531669442511,7.349047608875304,221.5581945440925,109.45280475400328,18573024000.0,0.5612652887279256,38.98112644949428,0.0,0.0,1.0,0.0
2023-02-13,20.34000015258789,52.0,0.375,0.375,0.25,0.125,172475500.0,194.63999938964844,198.4475006103516,176.38259994506836,175.3043818453274,8.69000244140625,11.0497211706914,66.26088339404427,9.46744296128703,7.772726679357651,222.85636307153968,115.37863601293296,18400548500.0,0.4647411963782631,38.26863433899107,0.0,1.0,0.0,0.0
2023-02-14,18.90999984741211,52.0,0.375,0.375,0.25,0.125,216455700.0,209.25,199.92500076293945,177.81019989013672,178.53729786005812,20.3800048828125,11.716170007271478,71.64951416254236,9.674479957996285,8.153077335085378,226.5438700205245,119.46712851463175,18617004200.0,0.5767197033017718,38.33294528093672,0.0,1.0,0.0,0.0
2023-02-15,18.229999542236328,52.0,0.375,0.375,0.25,0.125,181006400.0,214.2400054931641,200.3995002746582,179.27759994506837,181.93755572987772,8.55000305175781,11.490015224734789,73.22258692201142,9.905924295479608,8.503646727164224,229.64452807068903,124.91247113585392,18798010600.0,0.6920312888108443,38.61991638811632,0.0,0.0,0.0,1.0
2023-02-16,20.170000076293945,52.0,0.341176,0.370588,0.288235,0.0529409999999999,229586500.0,202.0399932861328,200.8754997253418,180.6213999938965,183.85207359237825,15.80999755859375,11.798585391439,63.888817281586654,9.450203883611286,8.692958158453637,229.0490719999281,132.99492671833366,18568424100.0,0.0078342168476278,38.40505004290719,0.0,1.0,0.0,0.0
2023-02-17,20.020000457763672,52.0,0.341176,0.370588,0.288235,0.0529409999999999,213738500.0,208.30999755859372,201.0669998168945,181.9863999938965,186.1813996843988,10.94000244140625,11.737258037865232,66.26860678263016,9.233746549486611,8.801115836660232,228.8828392951528,140.6501593620738,18782162600.0,0.1758241116661936,37.72833650999062,0.0,0.0,1.0,0.0
