symbol,date,open,high,low,close,volume,adjusted,sma_20,sma_50,ema_20,basic_volatility,atr,rsi,macd,macd_signal,bb_up,bb_dn,obv,stochrsi,adx
TSLA,2010-06-29,1.2666670083999634,1.6666669845581055,1.1693329811096191,1.5926669836044312,281494500,1.5926669836044312,,,,0.49733400344848633,,,,,,,281494500,,
TSLA,2010-06-30,1.7193330526351929,2.0280001163482666,1.553333044052124,1.5886670351028442,257806500,1.5886670351028442,,,,0.4746670722961426,,,,,,,23688000,,
TSLA,2010-07-01,1.6666669845581055,1.7280000448226929,1.3513330221176147,1.4639999866485596,123282000,1.4639999866485596,,,,0.3766670227050781,,,,,,,-99594000,,
TSLA,2010-07-02,1.5333329439163208,1.5399999618530273,1.24733304977417,1.2799999713897705,77097000,1.2799999713897705,,,,0.2926669120788574,,,,,,,-176691000,,
TSLA,2010-07-06,1.3333330154418945,1.3333330154418945,1.0553330183029175,1.0740000009536743,103003500,1.0740000009536743,,,,0.27799999713897705,,,,,,,-279694500,,
TSLA,2010-07-07,1.0933330059051514,1.108667016029358,0.9986670017242432,1.053333044052124,103825500,1.053333044052124,,,,0.11000001430511475,,,,,,,-383520000,,
TSLA,2010-07-08,1.0759999752044678,1.1679999828338623,1.0379999876022339,1.1640000343322754,115671000,1.1640000343322754,,,,0.12999999523162842,,,,,,,-267849000,,
TSLA,2010-07-09,1.1720000505447388,1.1933330297470093,1.1033329963684082,1.159999966621399,60759000,1.159999966621399,,,,0.09000003337860107,,,,,,,-328608000,,
TSLA,2010-07-12,1.196666955947876,1.2046669721603394,1.1333329677581787,1.136667013168335,33037500,1.136667013168335,,,,0.07133400440216064,,,,,,,-361645500,,
TSLA,2010-07-13,1.1593329906463623,1.2426669597625732,1.1266670227050781,1.2093329429626465,40201500,1.2093329429626465,1.3247667014598847,,,0.11599993705749512,,,,,,,-321444000,,
TSLA,2010-07-14,1.1959999799728394,1.3433330059051514,1.184000015258789,1.3226670026779175,62928000,1.3226670026779175,1.3142000019550324,,,0.1593329906463623,,,,,,,-258516000,,
TSLA,2010-07-15,1.329332947731018,1.4333330392837524,1.2666670083999634,1.3259999752044678,56097000,1.3259999752044678,1.3026000022888184,,,0.16666603088378906,,,,,,,-202419000,,
TSLA,2010-07-16,1.3799999952316284,1.4199999570846558,1.3366669416427612,1.3760000467300415,39319500,1.3760000467300415,1.2958666503429412,,,0.08333301544189453,,,,,,,-163099500,,
TSLA,2010-07-19,1.4246670007705688,1.4833329916000366,1.3946670293807983,1.4606670141220093,37297500,1.4606670141220093,1.3016000032424926,,,0.08866596221923828,,,,,,,-125802000,,
TSLA,2010-07-20,1.4566669464111328,1.4566669464111328,1.3366669416427612,1.3533329963684082,27379500,1.3533329963684082,1.3210666537284852,,,0.12000000476837158,0.18504764352525985,39.206236953882936,,,,,-153181500,,
TSLA,2010-07-21,1.3773330450057983,1.3933329582214355,1.2999999523162842,1.3480000495910645,18787500,1.3480000495910645,1.33926665186882,,,0.09333300590515137,0.17849659798096637,39.00418565474643,,,,,-171969000,,
