,0
adx_lag1,0.0608764948485726
volume_lag3,0.06080196166158892
adx_lag2,0.058560892091263195
vix_lag10,0.05852939941184107
adx_lag3,0.0565863521414544
adx_lag4,0.053862260961202314
vix_lag2,0.053120393074143964
vix_lag3,0.052062361401429134
vix_lag4,0.05070577054487727
adx_lag5,0.049927944046434164
vix_lag8,0.04840131024372782
volume_lag1,0.04785748840686451
vix_lag1,0.04773261463645946
vix_lag5,0.04724560122326496
vix_lag9,0.04571789662558208
sentiment_neutral_lag2,0.04559232194767596
adx_lag6,0.045576673894887905
rsi_lag6,0.04485505512286791
rsi_lag5,0.04482134574059153
rsi_lag4,0.04379814947920382
stochrsi_lag6,0.04252590719546791
vix_lag6,0.042282656861072035
adx_lag7,0.041741851097037166
volume_lag4,0.04141299801982168
vix_lag7,0.04112007812699712
bull_bear_spread_surv_lag7,-0.040707668974086335
sentiment_positive_lag6,0.04047824584156175
bull_bear_spread_surv_lag10,-0.03986872289419131
volume_lag2,0.03983667227043048
adx_lag8,0.03922610812145481
bull_bear_spread_surv_lag9,-0.038557504812589925
sentiment_negative_lag1,-0.03812048205102773
bull_bear_spread_surv_lag8,-0.037629903696202414
rsi_lag7,0.036681949118370215
adx_lag9,0.03650437344041979
stochrsi_lag7,0.03587019271370621
stochrsi_lag5,0.035361997291548035
rsi_lag3,0.03458432131277379
volume_lag7,0.03407036834721456
macd_lag2,0.03379586385316853
adx_lag10,0.03326580011544771
bull_bear_spread_surv_lag3,-0.03302003894524854
macd_lag3,0.03282954185148037
macd_lag1,0.031867965316136095
rsi_lag2,0.03180466263809035
bull_bear_spread_surv_lag6,-0.03167579923103755
macd_lag4,0.03142975654185114
rsi_lag8,0.030026285214519943
macd_lag5,0.028445543640144826
volume_lag10,0.028427344163467663
sentiment_neutral_lag3,0.027881124651366808
sentiment_neutral_lag8,0.027713194325260267
g_trends_lag1,0.027539610564981505
basic_volatility_lag1,0.02751887617281928
macd_signal_lag1,0.02710627935784757
basic_volatility_lag4,0.027039293846586727
bull_bear_spread_surv_lag5,-0.027024059609854555
bull_bear_spread_surv_lag4,-0.026896009163922728
stochrsi_lag8,0.0264919277953542
sentiment_positive_lag5,0.026476231311548422
volume_lag9,0.025828530716030057
sentiment_positive_lag10,-0.025600962377679882
macd_signal_lag2,0.025442849647127612
sentiment_negative_lag10,0.025187448856778108
g_trends_lag2,0.024779912330378146
macd_lag6,0.02469638574126711
volume_lag8,0.024563006125428295
rsi_lag9,0.02380844832167442
g_trends_lag6,0.02376676815034582
stochrsi_lag4,0.023752186441864987
g_trends_lag5,0.023450903815889625
g_trends_lag3,0.023214645686451783
stochrsi_lag10,0.022928060861042758
g_trends_lag9,0.0228884286089307
macd_signal_lag3,0.022846203201357693
sentiment_neutral_lag1,0.02282739705075165
g_trends_lag8,0.022571807422562925
rsi_lag10,0.022134241115525893
g_trends_lag7,0.021970226878438283
g_trends_lag10,0.02165490655596842
g_trends_lag4,0.021535572709347698
sentiment_positive_lag8,0.020875425499542806
sentiment_negative_lag8,-0.020287134208744378
macd_lag7,0.020246712960809897
macd_signal_lag4,0.01985207312645286
stochrsi_lag9,0.01980223020575098
basic_volatility_lag3,0.019470421054376085
rsi_lag1,0.01828038340059344
bull_bear_spread_surv_lag2,-0.01763702587164546
volume_lag5,0.01761643000165568
sentiment_negative_lag5,-0.017395475912269732
macd_signal_lag5,0.016476460650268705
macd_lag8,0.015760661939914274
sma_20_lag1,0.015460178065009668
bull_bear_spread_surv_lag1,-0.015327918949233051
basic_volatility_lag2,0.01482545985966327
sma_50_lag1,0.014705652918694072
sentiment_neutral_lag4,0.014079902222007692
sma_50_lag2,0.014009555315553526
sma_20_lag2,0.013868517705310885
sentiment_negative_lag2,0.013720209074991812
sma_50_lag3,0.013376197548602914
macd_signal_lag6,0.01304589060145704
basic_volatility_lag10,0.012782415305538477
sma_50_lag4,0.012764429031744975
sentiment_positive_lag4,0.012474216781534781
macd_lag9,0.012413798001135418
sma_20_lag3,0.012303479427849727
sma_50_lag5,0.012171737513376094
atr_lag1,0.011706895652450358
sma_50_lag6,0.01156927371093808
volume_lag6,0.011518173127837277
sma_50_lag7,0.0109697553891215
sma_20_lag4,0.010736168484000183
sma_50_lag8,0.010325270433850573
sentiment_negative_lag4,-0.009843741436835274
macd_signal_lag7,0.0097508014268
sma_50_lag9,0.009696268561902813
sentiment_positive_lag2,0.00967381387553213
macd_lag10,0.009596052136541019
atr_lag2,0.009506749484202388
sma_20_lag5,0.00914548034214119
sma_50_lag10,0.009031384786082139
atr_lag3,0.008928965012960017
basic_volatility_lag8,0.00884072850149664
atr_lag4,0.008187939027735182
sentiment_neutral_lag7,-0.008129015139468083
atr_lag8,0.007646368284784369
sma_20_lag6,0.007572734023454018
basic_volatility_lag6,0.007212116724841096
atr_lag7,0.006972706370219668
atr_lag5,0.006831476584581597
sentiment_neutral_lag6,-0.006822608235851796
atr_lag6,0.006820720147285639
macd_signal_lag8,0.006811862986406726
atr_lag10,0.006689538210256984
atr_lag9,0.006669833034318748
stochrsi_lag1,-0.006462839497577473
sma_20_lag7,0.006012220801658531
sentiment_negative_lag7,-0.005893710193352912
bb_dn_lag1,-0.005759997651969563
bb_dn_lag3,-0.005610127054852771
bb_dn_lag2,-0.005526350102193942
bb_dn_lag4,-0.005419663016291772
bb_dn_lag5,-0.005067549287126548
sentiment_neutral_lag9,-0.004955541723683435
bb_dn_lag8,-0.004948664834216024
bb_dn_lag7,-0.004833354769675713
bb_dn_lag9,-0.004805682870405493
