,0
volume_lag3,0.0511104060911849
basic_volatility_lag9,-0.04894396800399591
adx_lag1,0.04768919765400292
adx_lag2,0.044331762103129245
basic_volatility_lag7,-0.04229018898586114
adx_lag3,0.04115512671619924
sentiment_negative_lag10,0.039775991927212886
sentiment_positive_lag6,0.038714688014147264
sentiment_positive_lag8,0.03781707264184912
basic_volatility_lag5,-0.037702683895485686
adx_lag4,0.03747496510222944
bb_dn_lag1,-0.03641406202401105
volume_lag4,0.03639927089255791
bb_dn_lag3,-0.0363168408417225
bb_dn_lag4,-0.0361976972806191
bb_dn_lag2,-0.036166686455509155
bb_dn_lag8,-0.03611897839451732
bb_dn_lag9,-0.036062641260125136
bb_dn_lag5,-0.03603799491675502
bb_dn_lag10,-0.03599534814048162
bb_dn_lag7,-0.035869387934973775
bb_dn_lag6,-0.03576990765020725
volume_lag2,0.03565878886917717
ema_20_lag10,-0.035200134899118614
vix_lag10,0.03514369794187984
ema_20_lag9,-0.0351328975767874
ema_20_lag8,-0.03511038760565628
stochrsi_lag6,0.034918502682542193
ema_20_lag7,-0.03487205433028143
ema_20_lag6,-0.03457883739535543
ema_20_lag5,-0.03441160722327484
bb_up_lag9,-0.0343493139268252
bb_up_lag10,-0.034325888219484096
bb_up_lag8,-0.03429840796903611
bb_up_lag7,-0.03420291620592328
ema_20_lag4,-0.03418809341968904
stochrsi_lag7,0.03403494323348145
ema_20_lag3,-0.03395459426883503
bb_up_lag6,-0.033869096714160836
adx_lag5,0.03376686340605623
ema_20_lag2,-0.03365627750614788
basic_volatility_lag6,-0.033450154605067194
ema_20_lag1,-0.03343649967206242
bb_up_lag5,-0.03342874208982898
bb_up_lag4,-0.033275367181347014
bb_up_lag3,-0.033050086551583015
atr_lag5,-0.03303177853138758
bb_up_lag2,-0.0328515557596129
stochrsi_lag1,0.03283833814725233
volume_lag1,0.03277007124435885
atr_lag6,-0.032663707397496404
bb_up_lag1,-0.03236954738740796
sma_20_lag10,-0.03233574439564813
atr_lag7,-0.03217197709476475
atr_lag4,-0.03204694203610527
rsi_lag6,0.03195854495512836
rsi_lag2,0.03167501368646157
volume_lag8,0.031428397170259754
rsi_lag3,0.031322051275324135
atr_lag3,-0.031273373494920556
atr_lag9,-0.03108317911306528
atr_lag2,-0.030856154319478243
rsi_lag1,0.030828138430233163
bull_bear_spread_surv_lag8,-0.03081235925682485
atr_lag8,-0.03053305025148042
sma_20_lag9,-0.030398367018069306
basic_volatility_lag8,-0.03028303316527766
atr_lag10,-0.030282007822691612
adx_lag6,0.030104945653980666
atr_lag1,-0.03001354527581972
rsi_lag7,0.029224363541791757
sentiment_neutral_lag3,0.029198812175856306
bull_bear_spread_surv_lag7,-0.029190028461207083
vix_lag8,0.029041143847418995
sma_20_lag8,-0.02852602035098467
sentiment_positive_lag7,0.028334474569364183
rsi_lag5,0.028195583958091366
rsi_lag4,0.02809695375842246
bull_bear_spread_surv_lag6,-0.02792446321042029
adx_lag7,0.027524124575680663
volume_lag7,0.027117932935358902
stochrsi_lag5,0.02710276627545378
sentiment_positive_lag10,-0.026811798177223376
sma_20_lag7,-0.02656997027528271
sentiment_neutral_lag8,0.025962460210460454
stochrsi_lag8,0.02553265128722118
basic_volatility_lag1,-0.02534509846460759
adx_lag8,0.025266173109847596
sma_20_lag6,-0.02455908924262347
basic_volatility_lag3,-0.024404155691286074
sentiment_neutral_lag2,0.0239993772551511
bull_bear_spread_surv_lag9,-0.023944153115353986
obv_lag10,-0.023644605736255424
obv_lag9,-0.02347802363231148
volume_lag9,0.023143154790577204
obv_lag8,-0.02275485746461505
sma_20_lag5,-0.022569766388737512
sentiment_negative_lag5,-0.02253239120488972
obv_lag7,-0.022459337052831516
obv_lag5,-0.02241579271671446
stochrsi_lag2,0.022380666207726385
adx_lag9,0.02237363819388369
obv_lag4,-0.022327934070829
obv_lag6,-0.022248516886938564
sentiment_neutral_lag9,-0.02223537716281045
sentiment_neutral_lag1,0.021943340337644297
obv_lag3,-0.02184251183030951
obv_lag2,-0.021790290475057688
obv_lag1,-0.021690131860343353
vix_lag5,0.021575785913710607
sma_50_lag10,-0.021345291415924648
basic_volatility_lag2,-0.02079261936027346
vix_lag9,0.02057151533440083
volume_lag10,0.02049360077427388
sma_50_lag9,-0.02049135921174989
vix_lag6,0.02046463501863353
sma_20_lag4,-0.020460147320378583
rsi_lag8,0.020251440997991154
sentiment_neutral_lag4,0.02008125327286799
sma_50_lag8,-0.019689948225142407
basic_volatility_lag10,-0.019631735533242222
vix_lag3,0.019003898040620856
sma_50_lag7,-0.018832837475388813
stochrsi_lag3,0.018737665931445078
sma_20_lag3,-0.018271474124192888
adx_lag10,0.01817956747205726
sma_50_lag6,-0.018012555999129067
stochrsi_lag4,0.01785750001095191
vix_lag4,0.017572409889826706
bull_bear_spread_surv_lag5,-0.01754091561125171
macd_lag1,0.017523562553077944
sma_50_lag5,-0.017184604819923385
volume_lag5,0.01696865837788491
sma_50_lag4,-0.01634668692027555
sma_20_lag2,-0.016109151620672373
macd_lag2,0.016076474091564274
sentiment_negative_lag1,-0.0160141741922432
sma_50_lag3,-0.015510074906960523
sentiment_positive_lag5,0.015330460977123197
vix_lag7,0.015296821964857857
bull_bear_spread_surv_lag10,-0.015068877915709246
sma_50_lag2,-0.014653693934373777
sentiment_neutral_lag5,-0.01415415844297268
basic_volatility_lag4,-0.014048490145291557
sma_20_lag1,-0.013824467357899562
sma_50_lag1,-0.013726589362796172
macd_lag3,0.013420469955063115
sentiment_negative_lag7,-0.01303394645083232
